"sex","aage","AJBHRS","ancars","ahhsize","aqfedhi","arace","aregion","atenure","avote","afiyr"
1,52,42,"1","4","12","1","18","2","2",14476.599609375
2,61,24,"0","1","12","1","18","4","2",7142.2827148438
2,25,35,"1","2","9","1","17","2","1",6004.619140625
2,43,12,"2","3","12","1","12","2","1",2345.3347167969
1,57,39,"1","2","12","1","18","3","2",9321.5400390625
1,31,35,"1","1","4","1","6","2","1",13600
2,40,25,"1","3","12","1","5","2","1",4896.837890625
1,34,39,"2","5","7","1","12","2","1",20243.259765625
2,21,37,"1","4","7","1","13","2","2",6604.8837890625
2,41,37,"1","1","7","1","3","2","2",12621.294921875
2,44,19,"2","3","12","1","3","2","3",2394.7758789063
1,51,37,"2","3","7","1","4","2","1",16532.009765625
2,33,50,"2","3","5","1","11","2","1",6401.8779296875
2,42,40,"1","3","8","1","2","1","1",9398.8173828125
2,34,14,"1","3","12","1","15","2","6",2494.73828125
1,36,37,"1","2","4","1","6","2","1",28160
2,32,40,"3","5","7","1","11","4","3",9030.693359375
2,44,5,"1","4","12","1","5","3","1",2984.6520996094
1,58,40,"0","1","12","1","8","3","2",11175.900390625
1,26,43,"1","3","9","1","9","2","1",13700.54296875
1,28,39,"2","2","4","1","17","2","3",11177.1064453125
2,49,21,"1","6","12","1","3","-9","10",1475.4453125
1,48,37,"1","4","6","1","13","2","1",11981.2646484375
1,41,35,"1","3","6","1","13","2","1",8583.6025390625
1,31,37,"1","2","4","1","18","2","10",14633
1,66,12,"1","2","12","1","12","2","2",9860.6455078125
2,30,45,"3","4","2","1","4","7","2",9160.865234375
1,31,37,"2","2","4","1","12","2","1",14559.4794921875
1,22,39,"1","3","7","1","10","1","2",13872.60546875
2,24,35,"2","2","7","1","8","2","8",7202.771484375
1,47,39,"1","3","4","1","8","1","2",13151.1181640625
2,30,28,"2","5","12","1","14","3","10",3300.2082519531
1,28,60,"1","2","2","1","18","2","1",22076.775390625
2,37,37,"1","1","6","1","18","2","1",14243.54296875
1,67,16,"1","2","12","1","3","5","2",8677.37890625
1,58,33,"1","3","10","1","15","2","1",19441.099609375
1,59,40,"2","2","11","1","3","2","1",14419.75
2,31,39,"1","4","4","1","8","2","1",17549.81640625
2,45,35,"2","4","4","1","9","1","2",8354.423828125
1,24,30,"0","3","12","1","8","3","2",2520.0559082031
1,31,39,"1","4","7","1","18","3","1",10608.2431640625
2,42,39,"0","1","3","1","7","2","2",11370
1,40,39,"1","4","-9","1","13","2","2",10812.1572265625
1,42,37,"0","1","6","1","18","7","4",10402.75
1,57,37,"1","3","12","1","17","2","2",15521.1845703125
2,54,27,"1","2","12","1","4","6","10",1723.4599609375
2,39,25,"1","4","12","1","8","2","3",4150.3872070313
2,40,21,"2","4","6","1","4","2","1",3714.2587890625
2,49,32,"1","3","12","1","17","2","2",5369.4775390625
1,28,36,"0","3","12","1","3","3","2",15510.345703125
1,62,40,"3","4","12","1","18","3","2",4133.466796875
1,61,38,"1","1","2","1","6","2","3",15725.54296875
2,29,39,"0","3","7","1","3","3","10",8429.892578125
2,28,38,"1","1","7","1","18","2","4",9239.640625
1,24,37,"1","2","2","1","14","2","3",12131.375
2,37,39,"1","3","12","1","3","2","1",7363.4912109375
2,42,15,"1","3","12","1","7","1","10",438.4125366211
2,26,35,"2","4","2","1","18","7","1",14255.505859375
2,50,37,"1","2","4","1","15","6","1",10091.9169921875
1,41,36,"1","1","1","1","3","2","3",27891.0390625
2,21,25,"0","7","12","1","4","3","2",3288.1840820313
1,24,39,"3","4","7","1","4","1","3",9903.001953125
2,42,20,"2","3","12","1","9","2","2",5170.486328125
1,56,37,"1","2","6","1","4","2","1",23409.0078125
1,45,37,"2","5","4","1","7","2","1",19380.71484375
1,46,40,"2","3","6","1","18","2","1",23014.0390625
1,33,38,"0","7","12","5","17","2","2",8948.0703125
2,34,35,"1","3","7","1","3","5","2",10896
1,37,40,"1","5","12","1","10","2","2",21152.80078125
1,20,40,"2","3","6","1","6","1","1",7551.455078125
1,26,37,"1","2","6","1","16","2","2",12342.974609375
2,36,30,"2","4","6","1","5","2","1",7058.0341796875
2,24,37,"1","3","9","1","17","2","2",6635.74609375
2,47,17,"0","4","5","2","2","3","3",5896.5600585938
1,36,36,"1","2","2","1","9","2","2",15906.466796875
1,23,40,"1","2","9","1","3","2","2",15409.29296875
1,22,39,"3","4","11","1","13","2","1",9616.400390625
1,20,37,"1","2","9","1","17","2","2",8079.4028320313
2,19,36,"2","2","9","1","14","2","1",1531.1779785156
1,28,37,"1","3","6","1","18","2","2",14375.400390625
1,25,37,"0","1","4","1","18","7","2",13009.701171875
1,17,37,"3","5","7","1","4","2","1",60
2,59,37,"1","2","7","9","4","2","2",9096.2001953125
1,33,37,"1","2","9","1","5","2","1",10656.099609375
1,27,38,"0","2","6","1","18","2","2",13255.400390625
1,44,20,"1","3","4","1","15","1","1",4481.5454101563
1,19,12,"2","4","7","3","2","1","2",2844.6928710938
2,23,37,"2","2","9","1","4","2","1",9196.638671875
2,25,37,"3","1","7","1","8","2","1",9644.8203125
1,43,35,"2","2","2","1","8","2","2",17406.9296875
2,28,37,"2","2","2","1","11","2","1",16950.9375
1,48,37,"1","3","6","1","8","2","1",14495
1,20,35,"2","5","7","1","3","2","1",8763.7412109375
2,29,37,"1","4","5","1","16","2","3",16544.96484375
1,44,33,"1","3","12","1","2","6","10",11404.619140625
1,35,40,"1","5","4","1","3","2","1",18063.23828125
1,49,50,"1","2","6","1","3","6","1",12044.5849609375
1,26,40,"1","2","9","1","3","2","7",19368.482421875
1,53,37,"1","2","6","1","17","2","3",21292.69140625
2,46,12,"0","4","12","1","3","3","2",3245.4187011719
1,29,35,"2","4","4","1","6","2","1",15606.00390625
2,42,15,"1","4","7","1","8","2","2",2508.669921875
2,26,40,"1","2","7","1","18","2","1",12365.0810546875
1,33,39,"1","4","7","1","18","3","2",9786.25
1,26,50,"1","3","4","1","18","2","1",12174.5458984375
1,49,50,"1","3","1","1","6","2","2",21100.390625
2,26,37,"1","2","4","1","16","2","1",12604.619140625
1,39,36,"2","4","6","1","6","2","2",17598.05078125
1,34,72,"2","4","2","1","5","7","3",34405.859375
1,23,40,"2","2","7","1","9","2","10",10188.462890625
2,59,7,"1","2","8","1","9","1","1",1317.7047119141
1,38,41,"1","6","3","1","14","2","2",17295.087890625
1,22,45,"3","4","7","1","11","2","1",11935.1171875
2,26,37,"1","2","7","1","3","6","8",5495.9047851563
2,36,32,"2","6","5","1","3","6","1",12567.3623046875
1,24,37,"1","5","6","1","3","2","1",12627.2578125
1,56,39,"1","5","11","5","1","2","2",13185.400390625
1,25,40,"1","2","7","1","3","2","6",14521.005859375
2,17,8,"2","5","7","1","3","2","1",1125.6800537109
2,42,35,"0","1","4","1","10","3","3",10749.59375
1,35,38,"1","3","4","1","8","2","2",10060
2,40,35,"1","2","4","1","9","1","2",8060.8325195313
1,38,37,"1","1","12","1","17","2","2",15836.099609375
1,22,41,"2","2","9","1","3","2","1",13204.619140625
2,21,39,"0","3","7","1","7","4","8",4088.8000488281
1,40,42,"1","5","6","1","6","2","1",18656.79296875
2,36,37,"2","2","1","1","10","1","1",21842.724609375
2,31,37,"1","2","6","1","3","2","2",15072.3076171875
1,33,37,"1","5","12","6","3","3","2",10264.810546875
2,34,42,"1","4","12","1","13","2","10",6572.8266601563
1,41,37,"1","3","6","1","18","2","4",15606.00390625
1,24,40,"2","4","4","1","16","6","1",8274.5771484375
1,41,40,"3","4","4","1","3","2","1",85832.328125
1,26,38,"1","1","7","1","5","2","2",9512.4404296875
1,50,39,"2","4","6","1","8","1","2",14245
2,55,21,"1","2","12","1","2","1","2",4738.2001953125
2,43,37,"2","3","5","1","15","2","8",12320.419921875
2,41,38,"1","2","12","1","4","6","1",6387.9350585938
1,41,37,"1","4","6","1","14","2","2",16398.025390625
2,44,40,"2","3","7","1","5","1","1",7309.931640625
1,60,32,"1","2","12","1","2","1","2",7080.2578125
2,50,37,"3","3","8","1","3","2","1",2700
1,48,40,"2","2","7","1","8","2","10",16806.9296875
2,29,30,"2","2","2","1","5","2","3",14957.83203125
1,26,40,"2","2","7","1","7","2","2",16373
1,16,40,"1","4","9","1","6","2","10",316.9559936523
1,45,60,"2","3","4","1","13","2","1",48195.203125
1,37,42,"1","4","9","1","2","2","1",17292.1796875
1,28,40,"1","3","4","1","15","2","1",10541.21484375
2,32,40,"2","4","4","1","15","2","1",12357.88671875
1,32,55,"2","3","7","1","6","2","1",25152.826171875
2,23,37,"0","2","4","1","1","7","2",14492.3076171875
2,44,37,"0","2","12","1","13","3","2",7485.2001953125
1,33,38,"2","5","9","1","16","2","2",23471.599609375
2,49,30,"1","3","5","4","7","2","2",12560
1,31,37,"1","2","2","1","18","2","1",27161.685546875
1,71,20,"1","2","10","1","18","1","1",4286.5673828125
2,32,20,"1","1","9","1","3","7","10",4229.2651367188
1,50,45,"3","3","6","1","6","2","1",19900
1,18,8,"0","5","7","1","15","4","2",909.7093505859
2,18,35,"2","5","7","1","3","2","10",7284.1259765625
2,44,38,"2","4","4","1","4","2","1",35686.46875
2,29,37,"1","2","4","1","12","2","2",13075.513671875
1,23,7,"1","3","12","5","2","2","1",8659.8330078125
1,47,40,"1","4","6","1","1","2","1",13060
1,55,40,"1","2","4","1","3","2","1",12869.875
1,40,40,"1","1","12","1","4","3","3",7398.5229492188
2,30,37,"1","1","7","1","16","2","1",10547.3232421875
1,31,40,"1","3","4","1","13","2","2",14652.3544921875
2,23,38,"2","5","9","1","7","3","10",10852.58203125
1,30,35,"1","2","2","1","2","6","3",12376.0712890625
2,61,20,"1","2","12","1","6","3","10",6879.5170898438
2,47,39,"0","3","12","1","12","3","2",8376.0654296875
2,39,37,"1","4","7","5","13","2","1",5282.8588867188
1,52,39,"2","3","12","1","8","3","2",9463.650390625
2,40,30,"1","3","7","1","3","2","3",12720.9638671875
1,43,39,"1","1","12","1","14","3","2",2939.5446777344
1,32,30,"2","4","2","1","1","1","1",64827.5546875
1,22,46,"1","2","9","1","3","2","3",9824.400390625
2,36,35,"1","4","2","1","18","2","1",14686.697265625
2,16,40,"1","5","9","1","3","2","6",527.345703125
1,35,42,"1","5","7","1","3","2","1",13912
2,62,25,"1","2","12","1","7","3","1",9628.595703125
2,17,35,"1","4","7","1","2","3","11",3700.9467773438
1,28,39,"1","2","7","1","16","2","1",15145.1787109375
2,42,33,"2","4","2","1","8","2","1",20938.4765625
1,45,25,"2","4","3","1","9","2","10",16530.625
1,23,36,"1","5","4","1","2","5","1",2651.9025878906
1,59,37,"1","2","10","1","15","3","2",11825.400390625
2,54,23,"0","2","8","1","3","2","1",4760
2,37,37,"2","2","12","1","3","2","1",15606.00390625
2,26,37,"2","4","8","1","8","1","1",10200
1,30,37,"0","2","12","1","1","2","2",9307.11328125
1,23,35,"1","3","4","1","3","7","1",12575.01171875
1,24,50,"1","3","4","1","3","2","1",16124.9599609375
1,20,39,"3","3","6","1","14","2","8",2069.5349121094
2,29,10,"3","3","5","1","3","2","3",3714.8500976563
2,43,32,"1","2","12","1","9","2","1",7095.3598632813
1,41,40,"2","3","6","1","11","2","1",17220
1,46,40,"2","4","4","1","3","2","1",10180.05078125
1,17,14,"2","4","7","1","11","2","1",1496.8194580078
1,37,36,"0","3","12","1","2","1","2",15133.1982421875
1,16,45,"1","3","7","1","3","2","11",1586.4731445313
2,61,37,"1","2","7","1","7","2","1",8977.96875
2,42,15,"1","4","12","1","4","2","2",1354.2849121094
